ProductCode,ProductName,Category,Price
ACCS-00001,Arni Cotton Saree,Cotton,2500
ACCZ-00001,Arni Cotton Saree With Copper Zari Buta,Cotton,3000
ACCZ-00002,Arni Cotton Saree With Copper Zari Buta,Cotton,2900
ACTB-00001,Arni Cotton Saree Thread Border,Cotton,2500
AJSL-00001,Ajrakh Silk Light Weight Saree,Near Silk,4000
AJSL-00002,Ajrakh Silk Light Weight Saree,Near Silk,4000
AJSL-00003,Ajrakh Silk Light Weight Saree,Near Silk,4000
BCRS-00001,Banarasi Chinnon - Raw Silk with Rich Copper Zari,Near Silk,5000
BCRS-00002,Banarasi Chinnon - Raw Silk with Rich Copper Zari,Near Silk,5000
BCRS-00003,Banarasi Chinnon - Raw Silk with Rich Copper Zari,Near Silk,5000
BCRS-00004,Banarasi Chinnon - Raw Silk with Rich Copper Zari,Near Silk,5000
BFPW-00001,Banarasi Fancy Party Wear Saree,Fancy-SemiLinen-Kota,2100
BFPW-00002,Banarasi Fancy Party Wear Saree,Fancy-SemiLinen-Kota,2100
BKSP-00001,Banaras Katan Semi Pattu,Near Silk,7500
BKSP-00002,Banaras Katan Semi Pattu,Near Silk,7500
BKSP-00003,Banaras Katan Semi Pattu,Near Silk,7500
BSCF-00003,Banaras Chiffon Sarees Checks with Zari Buta,Chiffon-Semi Kora,4500
BSCF-00004,Banaras Chiffon Sarees,Chiffon-Semi Kora,4500
BSCN-00001,Banaras Chinon Silk Sarees,Near Silk,4250
BSCN-00003,Banaras Chinon Silk Sarees,Near Silk,4250
BSKO-00001,Banarasi Semi Kora Saree,Chiffon-Semi Kora,3750
BSKO-00002,Banarasi Semi Kora Saree,Chiffon-Semi Kora,3750
BSKS-00001,Banarasi Katan Silk - Light Weight,Pure Silk n Katan,8500
BSKS-00002,Banarasi Katan Silk - Light Weight,Pure Silk n Katan,8500
BSSS-00001,Banarsi Soft Silk Saree,Near Silk,3500
BSSS-00002,Banarsi Soft Silk Saree,Near Silk,3750
CHSC-00001,Chanderi SICO - Zari Buta,SICO,7250
CHSC-00002,Chanderi SICO - Zari Buta,SICO,5000
CHSS-00001,Chanderi Semi Silk with Zari Buta,Near Silk,5750
DHLC-00001,Dhaka Linen Cotton Saree,Fancy-SemiLinen-Kota,2800
DHSJ-00001,Dhaka Semi Jamdani Allover,Cotton,2750
DJCS-00001,Dhakai Jamdani Cotton Sarees,Cotton,3900
DJCS-00002,Dhakai Jamdani Cotton Sarees,Cotton,3900
DJCS-00003,Dhakai Jamdani Cotton Sarees,Cotton,3900
FLCS-00001,Fancy Linen Cotton Sarees with Allover Prints,Fancy-SemiLinen-Kota,1900
IBWS-00001,Ikkat Bone Woven Saree,Cotton,2750
IBWS-00002,Ikkat Bone Woven Saree,Cotton,2750
ILKS-00003,Ilkal Saree with Beautiful Pallu,Others,1600
KACS-00001,Kantha Work Cotton Sarees,Cotton,2200
KACS-00003,Kantha Work Cotton Saree,Cotton,2200
KAPB-00001,Kanchi Saree Paithani Border,Cotton,2000
KAPB-00002,Kanchi Saree Paithani Border,Cotton,2000
KASL-00001,Kanchi Silk Saree with Rich Pallu,Pure Silk n Katan,10500
KASL-00002,Kanchi Silk Saree with Rich Pallu,Pure Silk n Katan,10500
KCLB-00001,Kanchi Cotton Sarees Long Border,Cotton,1400
KCLB-00002,Kanchi Cotton - Rich Pallu - Long Border,Cotton,3900
KCLB-00003,Kanchi Cotton - Rich Pallu - Long Border,Cotton,3900
KCRB-00001,Kanchi Cotton Sarees,Cotton,1900
KCRB-00002,Kanchi Cotton Sarees with running blouse,Cotton,1900
KCRP-00001,Kanchi Cotton Sarees Rich Pallu,Cotton,3600
KCRP-00002,Kanchi Rich Pallu Cotton and Zari Border,Cotton,3200
KCRP-00003,Kanchi Rich Pallu Cotton and Zari Border,Cotton,3200
KCRP-00004,Kanchi Rich Pallu Cotton without Border,Cotton,3400
KCRP-00005,Kanchi Cotton Sarees Rich Pallu and Gap Border,Cotton,3600
KCRP-00006,Kanchi Cotton Sarees Rich Pallu and Gap Border,Cotton,3600
KCSB-00001,Kanchi Cotton Sarees Small Border,Cotton,1300
KCSB-00002,Kanchi Cotton Sarees Small Border,Cotton,1300
KCVZ-00001,Kanchi Cotton Vertical Zari Lines,Cotton,2300
KCVZ-00002,Kanchi Cotton Vertical Zari Lines,Cotton,2300
KCVZ-00003,Kanchi Cotton Vertical Zari Lines,Cotton,2300
KCVZ-00005,Kanchi Cotton Sarees - Vertical Zari Gap Border,Cotton,3600
KCVZ-00006,Kanchi Vertical Zari Lines,Cotton,2300
KCVZ-00007,Kanchi Vertical Zari Lines,Cotton,2300
KFES-00001,Kota Floral Embroidery,Fancy-SemiLinen-Kota,2500
KFPW-00001,Kota Fancy Party Wear Saree,Fancy-SemiLinen-Kota,2100
KLKB-00001,Kalamkari Fancy Saree Kantha Border,Fancy-SemiLinen-Kota,2750
KOAS-00001,Kosa Art Silk Saree,Near Silk,3250
KOAS-00002,Kosa Art Silk Saree,Near Silk,3250
KOES-00001,Kota Embroidery Saree,Fancy-SemiLinen-Kota,2500
LICO-00002,Linen Cotton Sarees,Fancy-SemiLinen-Kota,3500
LICO-00003,Linen Cotton Sarees,Fancy-SemiLinen-Kota,3500
MACS-00001,Malmal Cotton Saree - Plain Small Border,Cotton,1300
MACS-00002,Malmal Cotton - Plain Small Border,Cotton,1300
MACS-00003,Malmal Cotton - Floral Prints - Plain Border,Cotton,1200
